year,topic,gamma
1615,1,0.764266383
1615,1,0.68798758
1615,1,0.376330999
1615,1,0.771110637
1615,1,0.331727702
1615,1,0.666257904
1615,1,0.132405723
1615,1,0.107170147
1615,1,0.250110525
1615,1,0.578348338
1615,1,0.554542992
1615,1,0.018208324
1615,1,0.551981473
1615,1,0.504037038
1615,1,0.024544708
1615,1,0.439135644
1615,1,0.159190486
1615,1,0.43204138
1615,1,0.337721445
1615,1,0.178018009
1615,1,0.379268432
1615,1,0.444661764
1615,1,0.30438398
1615,1,0.675093763
1615,1,0.331531633
1615,1,0.174323254
1615,1,0.448939598
1615,1,0.265601011
1615,1,0.194926084
1615,1,0.375611637
1615,1,0.323548298
1615,1,0.795622956
1615,1,0.17289795
1615,1,0.221463567
1615,1,0.361236505
1615,1,0.410915199
1615,1,0.69943605
1615,1,0.536746155
1615,1,0.36820299
1615,1,0.237826831
1615,1,0.484554005
1615,1,0.481926754
1615,1,0.155853287
1615,1,0.40160662
1615,1,0.250239513
1615,1,0.780962146
1615,1,0.490114262
1615,1,0.556770313
1615,1,0.315876775
1615,1,0.367646879
1615,1,0.409792267
1615,1,0.458122191
1615,1,0.336339919
1615,1,0.039455658
1615,1,0.202257006
1615,1,0.601251341
1615,1,0.253770352
1615,1,0.343110036
1615,1,0.130173724
1615,1,0.031710092
1615,1,0.596459167
1615,1,0.015137926
1615,1,0.177676058
1615,1,0.328305148
1615,1,0.910976141
1615,1,0.269458958
1615,1,0.250156495
1615,1,0.572018389
1615,1,0.402760349
1615,1,0.67514397
1615,1,0.098971342
1615,1,0.108337176
1615,1,0.549870348
1615,1,0.812222339
1615,1,0.505003887
1615,1,0.446685033
1615,1,0.114580803
1615,1,0.611263517
1615,1,0.322716939
1615,1,0.441284575
1615,1,0.609003174
1615,1,0.342574249
1615,1,0.158815775
1615,1,0.317639956
1615,1,0.075149869
1615,1,0.268375327
1615,1,0.529620305
1615,1,0.75750404
1615,1,0.684624986
1615,1,0.685504448
1615,1,0.133469347
1615,1,0.563714307
1615,1,0.589327152
1615,1,0.034206591
1615,1,0.740423963
1615,1,0.758932301
1615,1,0.891697397
1615,1,0.278426151
1615,1,0.637339821
1615,1,0.917462525
1615,1,0.453262269
1615,1,0.721655546
1615,1,0.431702544
1615,1,0.573757457
1615,1,0.391842255
1615,1,0.3558581
1615,1,0.344056604
1615,1,0.138926915
1615,1,0.242006954
1615,1,0.368763063
1615,1,0.808348978
1615,1,0.25008543
1615,1,0.666056145
1615,1,0.74719031
1615,1,0.245898392
1615,1,0.577205666
1615,1,0.5685265
1615,1,0.338029731
1615,1,0.141276857
1615,1,0.014151801
1615,1,0.248098134
1615,1,0.010418875
1615,1,0.906626528
1615,1,0.047240714
1615,1,0.193228027
1615,1,0.232447837
1615,1,0.235686922
1615,1,0.690439981
1615,1,0.044783959
1615,1,0.635327111
1615,1,0.341847887
1615,1,0.097571981
1615,1,0.005816272
1615,1,0.423776438
1615,1,0.176994873
1615,1,0.474345661
1615,1,0.302774892
1615,1,0.31722388
1615,1,0.024544708
1615,1,0.46294335
1615,1,0.85419626
1615,1,0.121571909
1615,1,0.016271776
1615,1,0.180992081
1615,1,0.801287909
1615,1,0.076831006
1615,1,0.569312333
1615,1,0.020987817
1615,1,0.501527811
1615,1,0.378956824
1615,1,0.492783141
1615,1,0.288725347
1615,1,0.578655084
1615,1,0.589690809
1615,1,0.678336527
1615,1,0.028292593
1615,1,0.676127848
1615,1,0.084677683
1615,1,0.02205309
1615,1,0.362434608
1615,1,0.186418981
1615,1,0.273404483
1615,1,0.034206591
1615,1,0.236248044
1615,1,0.127418945
1615,1,0.118911798
1615,1,0.487088401
1615,1,0.092577806
1615,1,0.687003443
1615,1,0.963479211
1615,1,0.01183827
1615,1,0.195274543
1615,1,0.166570627
1615,1,0.049930462
1615,1,0.492977624
1615,1,0.402760349
1615,1,0.699064431
1615,1,0.454070564
1615,1,0.232276621
1615,1,0.733124402
1615,1,0.406173302
1615,1,0.738577189
1615,1,0.617299389
1615,1,0.060522181
1615,1,0.613721848
1615,1,0.533831917
1615,1,0.24377368
1615,1,0.00840369
1615,1,0.091357927
1615,1,0.501869589
1615,1,0.60439072
1615,1,0.6329383
1615,1,0.776185184
1615,1,0.06184621
1615,1,0.363601415
1615,1,0.477139222
1615,1,0.705859747
1615,1,0.393985554
1615,1,0.414578914
1615,1,0.480102565
1616,1,0.375269665
1616,1,0.197191682
1616,1,0.072809811
1616,1,0.066099794
1616,1,0.012892065
1616,1,0.023232284
1616,1,0.023232284
1616,1,0.060589858
1616,1,0.014151801
1616,1,0.323642025
1616,1,0.420850784
1616,1,0.012169857
